Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.66081506504928,3.08669805953289,7.86188883303498,8.49758470158106,5.24131500140663,5.45638875297365,6.38610640094825,7.41022760508854,7.99625378571471,8.25630550179086,6.79538341897911,6.45385134497769,3.73791851955785,-6.59608052232176,8.68122873083119
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,1022.73162874643,993.503772474691,1096.63498033497,1350.63432207085,1449.60178853415,1434.01819806113,1438.05748041006,1559.86451848257,1590.17391842781,1714.28035526737,1957.968841235,1974.37778792366,2047.23270433512,1910.42147282449,2256.59040870506
India,IND,"Population, total",SP.POP.TOTL,1189691809,1206734806,1223640160,1240613620,1257621191,1274487215,1291132063,1307246509,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842
India,IND,Population growth (annual %),SP.POP.GROW,1.46637175001498,1.42239150883577,1.39119493033754,1.37759581159767,1.36158808453343,1.33219204981494,1.29754883539168,1.24036218382689,1.18779532005068,1.18504622906796,1.15562449067646,1.08752772157855,1.02531077187097,0.95522085775158,0.797216093898126
India,IND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,6.37288135593229,8.34926704907581,10.8823529411765,11.9893899204243,8.9117933648337,9.47899691419793,10.0178784746103,6.665656718679,4.90697344127254,4.94821634062142,3.32817337461301,3.93882646691634,3.72950573539126,6.62343677628532,5.13140747176369
India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.53600025177002,8.35400009155273,8.38399982452393,8.31900024414063,8.16800022125244,8.09500026702881,8.03699970245361,7.98099994659424,7.91499996185303,7.84200000762939,7.73299980163574,7.65000009536743,6.51000022888184,10.1949996948242,7.71299982070923
India,IND,Trade (% of GDP),NE.TRD.GNFS.ZS,45.6862686794412,53.3682204392226,46.2728696431018,49.2552064974806,55.6238800135119,55.7937217174389,53.8441319466811,48.9221857470489,41.9229138658647,40.082485713276,40.7424969545204,43.6169693323889,39.9625279339591,37.8053535787506,45.2902657416073
